tag,label,total_W,dynamic_W,clocks_W,signals_W,logic_W,dsp_W,confidence 
base,s0,0.154,0.070,0.020,0.011,0.018,0.021,Medium
base,s75,0.142,0.058,0.020,0.009,0.015,0.013,Medium
base,s90,0.132,0.048,0.020,0.008,0.013,0.007,Medium
zs,s0,0.156,0.072,0.021,0.012,0.018,0.021,Medium
zs,s25,0.147,0.063,0.019,0.010,0.015,0.019,Medium
zs,s50,0.140,0.056,0.017,0.008,0.012,0.018,Medium
zs,s75,0.127,0.043,0.015,0.005,0.009,0.013,Medium
zs,s90,0.113,0.029,0.014,0.003,0.005,0.007,Medium
dsp,s0,0.131,0.047,0.010,0.008,0.009,0.020,Medium
dsp,s25,0.130,0.046,0.010,0.008,0.009,0.020,Medium
dsp,s50,0.129,0.045,0.009,0.007,0.008,0.020,Medium
dsp,s75,0.125,0.041,0.008,0.006,0.007,0.019,Medium
dsp,s90,0.121,0.037,0.007,0.005,0.006,0.018,Medium
dsp0,s0,0.130,0.046,0.009,0.008,0.009,0.020,Medium
dsp0,s25,0.130,0.046,0.009,0.008,0.009,0.020,Medium
dsp0,s50,0.129,0.045,0.009,0.008,0.009,0.020,Medium
dsp0,s75,0.129,0.045,0.009,0.008,0.009,0.019,Medium
dsp0,s90,0.127,0.043,0.009,0.008,0.008,0.018,Medium
base,s0,0.154,0.070,0.020,0.011,0.018,0.021,Medium
zs,s0,0.156,0.072,0.021,0.012,0.018,0.021,Medium
dsp,s0,0.131,0.047,0.010,0.008,0.009,0.020,Medium
zs,s50,0.140,0.056,0.017,0.008,0.012,0.018,Medium
zs,s25,0.147,0.063,0.019,0.010,0.015,0.019,Medium
base,s50,0.149,0.065,0.020,0.010,0.017,0.018,Medium
